SharedPixelTypeId; Volume; PoreId1 PoreId2 ... 
4294967249; 235; 181 175
4294967250; 297; 175 181
4294967251; 199; 152 153
4294967252; 238; 147 159
4294967253; 404; 127 149
4294967254; 358; 174 135
4294967255; 292; 159 147
4294967256; 403; 135 174
4294967257; 453; 138 164
4294967258; 386; 164 138
4294967259; 250; 153 152
4294967260; 439; 149 127
4294967261; 300; 142 159
4294967262; 287; 156 165
4294967263; 313; 159 142
4294967264; 423; 163 133
4294967265; 441; 133 163
4294967266; 242; 165 156
4294967267; 453; 153 154
4294967268; 431; 154 153
4294967269; 201; 158 139
4294967270; 346; 170 144
4294967271; 336; 144 170
4294967272; 262; 139 158
4294967273; 428; 140 169
4294967274; 423; 169 140
4294967275; 273; 144 168
4294967276; 432; 168 172
4294967277; 445; 172 168
4294967278; 333; 168 144
4294967279; 646; 135 141
4294967280; 710; 141 135
4294967281; 428; 166 146
4294967282; 428; 146 166
4294967283; 508; 133 132
4294967284; 470; 134 128
4294967285; 508; 128 134
4294967286; 474; 132 133
4294967287; 408; 155 131
4294967288; 391; 131 155
4294967289; 489; 145 148
4294967290; 487; 148 145
4294967291; 172; 136 150
4294967292; 309; 150 136
4294967293; 478; 147 142
4294967294; 473; 142 147
